sku,title,link,price,image
709840PAK,Activia Pruim met Bifidus 4 x 125g,http://www.jumbo.com/activia-pruim-met-bifidus-4-x-125g/709840PAK/,1.75,https://static-images.jumbo.com/product_images/100720182252_709840PAK-1_360x360.png
85114STK,Activia Yoghurt met Bifidus Actiregularis en Fruit 8 x 125g,http://www.jumbo.com/activia-yoghurt-met-bifidus-actiregularis-en-fruit-8-x-125g/85114STK/,3.36,https://static-images.jumbo.com/product_images/85114STK-1_360x360.png
207681FLS,Adnams Southwold Dry Hopped Lager Fles 330ml,http://www.jumbo.com/adnams-southwold-dry-hopped-lager-fles-330ml/207681FLS/,1.59,https://static-images.jumbo.com/product_images/290920180742_207681FLS-1_360x360.png
170020ZK,Adventuros Nuggets Zwijnwildsmaak 90g,http://www.jumbo.com/adventuros-nuggets-zwijnwildsmaak-90g/170020ZK/,1.34,https://static-images.jumbo.com/product_images/110920180257_170020ZK-1_360x360.png
169939ZK,Adventuros Strips Hertenvleeswildsmaak 90g,http://www.jumbo.com/adventuros-strips-hertenvleeswildsmaak-90g/169939ZK/,1.17,https://static-images.jumbo.com/product_images/110920180257_169939ZK-1_360x360.png
20236STK,Advil Gel 5% Ibuprofen 60g,http://www.jumbo.com/advil-gel-5-ibuprofen-60g/20236STK/,8.45,https://static-images.jumbo.com/product_images/20236STK-1_360x360.png
16836STK,Advil Liquid-Caps 200 mg Ibuprofen 10 Stuks,http://www.jumbo.com/advil-liquid-caps-200-mg-ibuprofen-10-stuks/16836STK/,2.96,https://static-images.jumbo.com/product_images/16836STK-1_360x360.png
213211BLK,Affligem Blond Bier Blik 33cl,http://www.jumbo.com/affligem-blond-bier-blik-33cl/213211BLK/,1.29,https://static-images.jumbo.com/product_images/240820180803_213211BLK-1_360x360.png
178338DS,Affligem Blond Bier Fles 4 x 30cl,http://www.jumbo.com/affligem-blond-bier-fles-4-x-30cl/178338DS/,4.6,https://static-images.jumbo.com/product_images/178338DS-180_360x360.png
168998DS,Affligem Dubbel Bier Fles 4 x 30cl,http://www.jumbo.com/affligem-dubbel-bier-fles-4-x-30cl/168998DS/,4.74,https://static-images.jumbo.com/product_images/261120181437_168998DS-180_360x360.png
168996DS,Affligem Tripel Bier Fles 4 x 30cl,http://www.jumbo.com/affligem-tripel-bier-fles-4-x-30cl/168996DS/,5.52,https://static-images.jumbo.com/product_images/281120180650_168996DS-180_360x360.png
50581STK,Agrico Szynka Polish Ham Mielona 300g,http://www.jumbo.com/agrico-szynka-polish-ham-mielona-300g/50581STK/,2.99,https://static-images.jumbo.com/product_images/50581STK-1_360x360.png
97336BLK,Agrico Visspread 156g,http://www.jumbo.com/agrico-visspread-156g/97336BLK/,0.95,https://static-images.jumbo.com/product_images/97336BLK-1_360x360.png
167619ZK,"Agriselect Houtvezel 2, 5kg","http://www.jumbo.com/agriselect-houtvezel-2,-5kg/167619ZK/",2.99,https://static-images.jumbo.com/product_images/167619ZK-1_360x360.png
167184ZK,Agriselect Kattenbakkorrels Basic Grey 7L,http://www.jumbo.com/agriselect-kattenbakkorrels-basic-grey-7l/167184ZK/,1.2,https://static-images.jumbo.com/product_images/167184ZK-1_360x360.png
167615ZK,Agriselect Kattenbakkorrels Ultra White 10L,http://www.jumbo.com/agriselect-kattenbakkorrels-ultra-white-10l/167615ZK/,4.69,https://static-images.jumbo.com/product_images/167615ZK-1_360x360.png
167617ZK,"Agriselect Luxe Konijnenvoer 2, 5kg","http://www.jumbo.com/agriselect-luxe-konijnenvoer-2,-5kg/167617ZK/",2.99,https://static-images.jumbo.com/product_images/167617ZK-1_360x360.png
167620ZK,Agriselect Schelpenzand Speciaal voor Vogels 5kg,http://www.jumbo.com/agriselect-schelpenzand-speciaal-voor-vogels-5kg/167620ZK/,2.99,https://static-images.jumbo.com/product_images/167620ZK-1_360x360.png
167618ZK,"Agriselect Stro 2, 5kg","http://www.jumbo.com/agriselect-stro-2,-5kg/167618ZK/",2.99,https://static-images.jumbo.com/product_images/167618ZK-1_360x360.png
167612ZK,"Agriselect Weidehooi 2, 5kg","http://www.jumbo.com/agriselect-weidehooi-2,-5kg/167612ZK/",2.99,https://static-images.jumbo.com/product_images/167612ZK-1_360x360.png
